EURUSD,-189.25,-96.26,-94.17,-265.85,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.51,-96.56,-93.19,-249.24,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.52,-96.58,-94.07,-252.71,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.32,-96.34,-92.01,-179.04,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.94,-95.90,-90.13,-170.21,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.91,-95.87,-90.63,-128.83,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.91,-95.87,-90.63,-128.83,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.26,-96.28,-91.81,-122.69,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.76,-97.21,-97.79,-147.85,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.06,-97.72,-101.19,-156.77,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.24,-98.29,-105.44,-167.87,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.67,-97.62,-100.90,-150.07,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.94,-96.77,-94.95,-84.92,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.30,-96.03,-90.72,-62.48,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.98,-96.82,-95.54,-55.15,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.21,-97.09,-97.88,-66.41,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.64,-97.59,-99.34,-92.16,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.41,-98.49,-106.69,-118.41,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-191.07,-100.85,-119.23,-163.43,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.69,-100.41,-117.63,-146.32,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-191.23,-101.07,-123.25,-175.40,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-191.04,-100.85,-119.70,-166.63,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-191.50,-101.38,-122.97,-164.12,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-191.50,-101.38,-124.09,-166.28,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-148.61,-104.33,-103.29,-94.49,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-148.56,-104.27,-103.64,-62.18,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-148.44,-104.12,-101.91,-54.75,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-148.23,-104.11,-101.21,-53.09,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.48,-99.03,-125.11,65.11,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.64,-99.22,-122.66,74.73,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.95,-98.41,-117.28,86.39,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.91,-98.36,-114.25,100.44,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.52,-98.68,-117.74,158.63,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.74,-99.33,-120.48,145.41,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.17,-98.66,-115.99,166.83,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.14,-98.63,-93.10,166.50,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.24,-99.91,-106.04,97.19,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.48,-100.19,-109.84,74.66,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.15,-99.81,-107.60,47.71,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.21,-99.88,-109.24,37.74,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.33,-100.02,-108.98,38.80,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.03,-99.67,-108.37,51.47,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.48,-100.19,-110.78,23.45,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.02,-99.66,-107.86,91.35,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-148.68,-104.91,-100.49,-66.75,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.05,-99.69,-108.12,75.64,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-148.56,-104.76,-101.46,-85.52,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.47,-99.01,-104.14,101.60,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-148.40,-104.57,-98.79,-71.40,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.86,-98.30,-98.65,170.52,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-147.69,-103.73,-91.44,7.04,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.64,-98.05,-94.96,189.12,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.75,-98.18,-91.42,207.10,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.67,-98.08,-92.40,148.03,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-188.79,-98.24,-91.42,158.10,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.18,-98.68,-93.72,150.67,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.37,-98.90,-95.22,68.68,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.13,-98.62,-93.28,88.57,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-189.40,-98.93,-95.31,78.02,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-190.91,-100.69,-105.35,-44.09,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-149.06,-105.36,-103.28,-154.44,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-192.15,-102.46,-119.63,-123.79,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-192.39,-103.17,-124.85,-150.43,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-192.31,-103.11,-124.01,-199.81,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.88,-114.75,-137.55,-87.63,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.04,-114.92,-138.08,-94.40,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.14,-115.04,-138.13,-63.14,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.48,-115.42,-139.65,-104.24,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.33,-115.24,-138.92,-86.51,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.98,-114.87,-137.66,-48.90,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.10,-115.00,-138.39,-58.22,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.93,-114.81,-137.50,-36.03,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.76,-114.62,-136.71,-20.82,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.76,-114.62,-136.97,-24.31,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.08,-114.97,-136.29,-23.02,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.54,-115.48,-139.96,-89.76,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.06,-114.95,-138.08,-72.80,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.51,-114.34,-135.87,-22.46,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.01,-113.77,-129.61,55.11,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-202.23,-112.12,-124.36,189.04,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-201.82,-111.44,-121.66,208.29,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-201.31,-110.28,-117.36,245.49,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-201.56,-110.56,-118.18,211.02,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-201.45,-110.44,-118.23,208.68,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-201.66,-110.67,-118.72,209.07,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-201.11,-109.56,-113.36,217.02,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-200.53,-108.60,-111.15,229.99,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-200.17,-107.74,-107.88,248.54,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-202.69,-110.54,-117.80,78.72,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-202.82,-110.69,-119.54,67.42,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.54,-111.48,-119.00,6.25,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-202.96,-110.84,-119.65,34.03,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-203.35,-111.74,-120.84,13.70,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-204.11,-112.12,-123.44,-28.31,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-207.04,-115.37,-134.76,-121.61,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-206.95,-115.27,-136.71,-133.17,1.05,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-225.43,-135.81,-126.72,113.29,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-225.56,-135.96,-126.07,116.76,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.07,-136.52,-128.31,104.60,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.37,-136.86,-130.64,69.52,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-227.35,-137.95,-135.38,37.68,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-227.40,-138.01,-138.23,17.53,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-227.76,-138.40,-139.67,-34.45,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-227.18,-137.76,-137.68,-8.70,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.60,-137.11,-135.68,25.57,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-227.01,-137.57,-118.61,49.66,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-175.45,-131.28,-121.15,108.85,1.25,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.80,-137.34,-115.87,69.22,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-175.42,-131.25,-119.35,128.48,1.25,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.30,-136.78,-114.47,79.01,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-174.82,-130.59,-117.85,144.29,1.25,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.55,-137.07,-115.20,74.54,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-175.27,-131.08,-119.20,103.24,1.25,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.52,-137.03,-115.10,72.09,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-175.36,-131.19,-119.99,94.53,1.25,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.82,-137.36,-115.94,66.42,1.04,Nov22,🔥💚 4H : BUY (AGAINST TREND)
GBPUSD,-175.39,-131.21,-120.18,92.53,1.25,Nov22,🔥💚 4H : BUY (AGAINST TREND)
EURUSD,-226.75,-137.28,-115.73,74.84,1.04,Nov23,🔥💚 4H : BUY (AGAINST TREND)
